"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW6";"3x6x2.5mm_tact_switch";1;"RESET";;;
2;"SW3";"3x6x2.5mm_tact_switch";1;"NEXT TRACK";;;
3;"SW4";"3x6x2.5mm_tact_switch";1;"PREVIOUS TRACK";;;
4;"SW2";"3x6x2.5mm_tact_switch";1;"VOLUME DOWN";;;
5;"SW5";"3x6x2.5mm_tact_switch";1;"PLAY/PAUSE";;;
6;"SW1";"3x6x2.5mm_tact_switch";1;"VOLUME UP";;;
7;"U2,U3";"3.5mm_stereo_jack_PJ320B";2;"PJ-320B";;;
8;"C2,C4,C5";"TantalC_SizeA_EIA-3216_HandSoldering";3;"CTS 1u/16V A 10% AVX-TAJ";;;
9;"CON1,CON2";"Pin_Header_Straight_1x16";2;"CONN_16";;;
10;"D1,D2";"LED-1206";2;"LED";;;
11;"R1,R6";"R_0805_HandSoldering";2;"10k";;;
12;"R2,R3,R7,R8,R9";"R_0805_HandSoldering";5;"1k";;;
13;"R4,R5";"R_0805_HandSoldering";2;"1k2";;;
14;"U1";"F-6188";1;"F-6188";;;
15;"U4";"PJ-327A";1;"PJ-327A";;;
16;"C1,C3";"C_1206_HandSoldering";2;"100n/50V X7R!!!";;;
17;"C6,C7,C8,C9";"C_1206_HandSoldering";4;"CKS1206 10u/25V X5R 10% SAMSUNG";;;
18;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_2";;;
19;"JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_3_Bridged12";;;
