"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"QFN-28-1EP_5x5mm_Pitch0.5mm";1;"CP2102N-A01-GQFN28";;;
2;"JP2,JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels";2;"Jumper_3_Open";;;
3;"P2";"Pin_Header_Straight_1x16";1;"Analog";;;
4;"SW1";"3x6x2.5mm_tact_switch";1;"SW_PUSH";;;
5;"C2,C1,C7,C8,C9,C10,C11,C4";"C_0805_HandSoldering";8;"0.1m";;;
6;"U1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328PB-AU";;;
7;"P1";"Pin_Header_Straight_1x16";1;"Digital";;;
8;"P3,P4,P5,P6";"1pin_Nano";4;"CONN_01X01";;;
9;"C3";"TantalC_SizeA_EIA-3216_Wave";1;"1u";;;
10;"D1";"LED-1206";1;"Green RED";;;
11;"D2";"LED-1206";1;"Red LED";;;
12;"D3,D4";"LED-1206";2;"Yellow LED";;;
13;"D5,D6";"SOD-123";2;"MBR120";;;
14;"F1";"Fuse_SMD1206_Wave";1;"Fuse";;;
15;"J1";"USB_Micro-B";1;"USB_B_Micro";;;
16;"L1";"Choke_SMD_1206_Standard";1;"L";;;
17;"P7";"Pin_Header_Straight_2x03";1;"CONN_6";;;
18;"R1,R2";"R_0805_HandSoldering";2;"22";;;
19;"R3,R7,R8,R9";"R_0805_HandSoldering";4;"1k";;;
20;"R6,R5";"R_0805_HandSoldering";2;"10k";;;
21;"TH1,TH2";"R_0603_HandSoldering";2;"CG0603MLC-05E";;;
22;"U3";"AB2_SOT223";1;"AP1117-50";;;
23;"U4";"AB2_SOT223";1;"AP1117-33";;;
24;"Y1";"MURATA_CSTCE_V53";1;"Resonator";;;
25;"R4";"R_0805_HandSoldering";1;"1M";;;
26;"JP3";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Bridged";;;
